id,year,tabac,gum
1.0,2000,132.0,78.0
1.0,2001,195.0,128.0
1.0,2002,136.0,136.0
1.0,2011,7.0,4.0
1.0,2012,12.0,5.0
1.0,2013,19.0,7.0
1.0,2014,6.0,5.0
1.0,2015,7.0,1.0
1.0,2016,14.0,5.0
1.0,2017,8.0,3.0
1.0,2018,2.0,2.0
2.0,2000,136.0,93.0
2.0,2001,137.0,105.0
2.0,2002,196.0,151.0
2.0,2010,29.0,22.0
2.0,2011,17.0,2.0
2.0,2012,11.0,42.0
2.0,2014,6.0,2.0
2.0,2015,6.0,3.0
2.0,2016,3.0,6.0
2.0,2017,7.0,2.0
3.0,2000,126.0,134.0
3.0,2001,87.0,126.0
3.0,2002,113.0,126.0
3.0,2011,14.0,4.0
3.0,2014,10.0,5.0
3.0,2015,10.0,10.0
4.0,2000,168.0,151.0
4.0,2001,269.0,171.0
4.0,2002,195.0,207.0
4.0,2010,2.0,1.0
4.0,2011,10.0,2.0
4.0,2012,28.0,2.0
4.0,2013,3.0,1.0
4.0,2014,11.0,2.0
4.0,2016,7.0,2.0
4.0,2019,7.0,3.0
5.0,2000,206.0,214.0
5.0,2001,100.0,85.0
5.0,2002,157.0,202.0
5.0,2010,31.0,7.0
5.0,2011,38.0,15.0
5.0,2012,21.0,2.0
5.0,2013,7.0,2.0
5.0,2019,10.0,1.0
6.0,2000,115.0,85.0
6.0,2001,143.0,138.0
6.0,2002,133.0,104.0
6.0,2010,10.0,2.0
6.0,2012,22.0,10.0
6.0,2013,3.0,3.0
6.0,2016,10.0,4.0
6.0,2018,7.0,3.0
6.0,2019,10.0,3.0
7.0,2000,84.0,41.0
7.0,2001,137.0,228.0
7.0,2002,255.0,292.0
7.0,2010,28.0,53.0
7.0,2011,11.0,52.0
7.0,2013,7.0,1.0
7.0,2014,14.0,1.0
7.0,2015,3.0,1.0
7.0,2016,20.0,2.0
7.0,2019,3.0,6.0
8.0,2000,92.0,78.0
8.0,2001,129.0,138.0
8.0,2002,156.0,246.0
8.0,2010,3.0,30.0
8.0,2011,46.0,49.0
8.0,2012,35.0,13.0
8.0,2013,20.0,33.0
8.0,2014,17.0,3.0
8.0,2015,7.0,10.0
8.0,2016,5.0,2.0
8.0,2017,4.0,4.0
8.0,2018,4.0,3.0
8.0,2019,10.0,3.0
9.0,2000,224.0,92.0
9.0,2001,156.0,125.0
9.0,2002,238.0,105.0
9.0,2010,12.0,7.0
9.0,2011,11.0,30.0
9.0,2012,7.0,2.0
9.0,2013,4.0,1.0
9.0,2017,4.0,3.0
10.0,2000,106.0,86.0
10.0,2001,138.0,102.0
10.0,2002,160.0,89.0
10.0,2010,7.0,2.0
10.0,2012,30.0,5.0
10.0,2014,10.0,10.0
10.0,2019,7.0,1.0
11.0,2000,116.0,65.0
11.0,2001,181.0,85.0
11.0,2002,186.0,174.0
11.0,2010,34.0,89.0
11.0,2011,45.0,106.0
11.0,2012,21.0,4.0
11.0,2013,41.0,4.0
11.0,2014,41.0,5.0
11.0,2015,39.0,3.0
11.0,2016,3.0,1.0
11.0,2018,14.0,1.0
11.0,2019,10.0,3.0
12.0,2000,39.0,34.0
12.0,2001,92.0,62.0
12.0,2002,77.0,74.0
12.0,2011,7.0,20.0
12.0,2012,20.0,5.0
12.0,2014,7.0,1.0
13.0,2000,30.0,40.0
13.0,2001,37.0,48.0
13.0,2002,51.0,22.0
13.0,2010,25.0,7.0
13.0,2011,57.0,15.0
13.0,2013,10.0,4.0
13.0,2014,2.0,1.0
13.0,2016,15.0,4.0
13.0,2017,14.0,2.0
14.0,2000,34.0,57.0
14.0,2001,40.0,47.0
14.0,2002,81.0,33.0
14.0,2010,10.0,21.0
14.0,2011,34.0,24.0
14.0,2012,34.0,24.0
14.0,2013,30.0,2.0
14.0,2014,14.0,4.0
14.0,2015,10.0,14.0
14.0,2016,4.0,2.0
14.0,2017,11.0,3.0
14.0,2018,2.0,1.0
15.0,2000,22.0,18.0
15.0,2001,41.0,39.0
15.0,2002,46.0,28.0
15.0,2010,34.0,8.0
15.0,2011,20.0,3.0
15.0,2012,7.0,2.0
15.0,2013,5.0,5.0
15.0,2016,4.0,2.0
15.0,2017,5.0,2.0
15.0,2018,5.0,2.0
15.0,2019,10.0,4.0
16.0,2000,4.0,2.0
16.0,2001,14.0,5.0
16.0,2002,23.0,9.0
16.0,2010,1.0,2.0
16.0,2011,10.0,1.0
16.0,2012,39.0,25.0
16.0,2013,5.0,30.0
16.0,2014,7.0,1.0
16.0,2015,7.0,1.0
16.0,2016,7.0,3.0
17.0,2000,5.0,4.0
17.0,2001,49.0,45.0
17.0,2002,8.0,3.0
17.0,2010,36.0,16.0
17.0,2011,52.0,19.0
17.0,2012,12.0,16.0
17.0,2013,2.0,2.0
17.0,2016,3.0,30.0
17.0,2017,7.0,1.0
18.0,2010,20.0,10.0
18.0,2011,31.0,6.0
18.0,2012,13.0,5.0
18.0,2014,10.0,2.0
18.0,2016,10.0,3.0
18.0,2017,10.0,4.0
18.0,2018,12.0,3.0
18.0,2019,10.0,3.0
19.0,2001,38.0,10.0
19.0,2002,28.0,31.0
19.0,2011,3.0,2.0
19.0,2012,5.0,3.0
19.0,2014,10.0,10.0
20.0,2000,15.0,10.0
20.0,2001,21.0,9.0
20.0,2002,24.0,13.0
20.0,2012,25.0,5.0
20.0,2014,18.0,7.0
20.0,2015,4.0,1.0
20.0,2017,2.0,3.0
21.0,2010,10.0,1.0
21.0,2011,22.0,11.0
21.0,2012,7.0,3.0
21.0,2013,14.0,1.0
21.0,2014,21.0,2.0
21.0,2016,14.0,2.0
21.0,2018,10.0,1.0
21.0,2019,31.0,5.0
22.0,2001,3.0,4.0
22.0,2002,20.0,3.0
22.0,2010,7.0,2.0
22.0,2011,17.0,3.0
22.0,2012,14.0,4.0
22.0,2013,14.0,20.0
22.0,2014,16.0,4.0
22.0,2015,1.0,1.0
22.0,2016,8.0,3.0
22.0,2019,10.0,1.0
23.0,2001,10.0,1.0
23.0,2010,37.0,3.0
23.0,2011,37.0,32.0
23.0,2012,28.0,103.0
23.0,2013,7.0,20.0
23.0,2014,7.0,2.0
23.0,2016,7.0,10.0
23.0,2017,10.0,2.0
24.0,2001,5.0,1.0
24.0,2002,30.0,31.0
